0,1,0,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,female
2,0,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,2,1,0,1,0,0,0,female
0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,female
0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,2,1,1,0,0,0,0,1,0,0,female
1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,2,female
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,female
3,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,female
1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,female
3,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,female
0,0,0,0,2,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,female
2,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,female
1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,female
1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,female
0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,1,0,0,0,1,0,3,0,female
2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,female
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,female
2,0,1,1,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,female
0,0,0,0,2,1,1,0,1,0,0,0,0,1,1,1,0,2,0,2,0,0,0,0,1,0,1,0,female
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,female
1,2,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,female
1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,female
2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,female
3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,female
1,0,0,0,2,0,0,0,1,0,1,0,0,1,1,2,0,3,0,1,0,0,0,0,0,0,0,0,female
0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,female
0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,female
3,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,female
0,0,2,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,female
2,0,0,0,2,0,0,0,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,female
0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,female
1,2,0,0,0,0,0,1,2,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,female
0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,female
2,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,female
1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,female
1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,1,0,1,0,female
2,0,1,1,1,0,0,1,2,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,1,0,female
0,0,1,1,1,0,0,1,3,0,0,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,female
1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,female
1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,female
3,0,0,0,2,0,0,0,2,1,0,1,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,female
0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,female
0,0,0,0,0,0,2,0,1,0,0,1,0,1,3,0,0,0,0,1,1,0,1,0,0,0,0,0,female
0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,female
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,female
0,1,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,female
2,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,female
2,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,female
2,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,1,0,female
0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,female
1,0,1,0,0,0,0,1,1,0,1,2,1,0,2,0,0,1,0,1,1,0,1,0,1,0,0,0,female
2,0,2,0,0,0,0,0,2,0,1,0,1,0,1,0,0,2,1,0,1,0,0,1,0,0,0,0,female
